CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian,cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registrants(party),most_registered(%)
ALAMANCE,36792,33375,556,17,42,31955,70181,21076,258,11222,3998,44020,53978,4739,102737,2020-03-14,,115973,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597,434.573486328125,266.8662577183425,31.724625559397445,28.778250109939382,0.4794219344157692,0.014658584325662008,0.03621532598104731,27.553827183913498,88.5869986979728,90.18399657680787,18.17319548515603,20.514517651868363,82.99746919274344,60.51494744466385,68.31131919366928,democrats,31.724625559397445
ALEXANDER,5242,10930,91,1,15,7518,21612,931,35,1219,334,11145,12006,646,23797,2020-03-14,,28629,1760,25940,6.1476125606902094,90.60742603653638,0.3861904896157264,263.5015380859375,108.6483221614556,18.310105138146636,38.17807118655908,0.3178595130811415,0.003492961682210346,0.05239442523315519,26.260085926857382,83.12200915155961,52.89772727272727,3.251947326137832,3.9122578476278522,83.31534309946029,75.48988787593,90.8181703576081,republicans,38.17807118655908
ALLEGHANY,2194,2704,33,2,1,2259,6666,73,7,447,177,3330,3606,257,7193,2020-03-14,,8638,192,8104,2.2227367446168094,93.8180134290345,0.11652217853577297,234.3843994140625,36.853988668162785,25.399398008798332,31.303542486686734,0.3820328779810141,0.0231535077564251,0.01157675387821255,26.15188701088215,83.27159064598287,38.020833333333336,0.8451030331095161,1.014875573474211,82.25567620927937,77.17064135216485,92.67343250382316,republicans,31.303542486686734
ANSON,10111,2478,29,7,24,3372,6656,6818,27,2520,82,6205,7558,2258,16021,2020-03-14,,19935,9655,9348,48.432405317281166,46.89240030097818,0.2689128998738868,536.82509765625,37.13499999727128,50.719839478304486,12.430398796087283,0.145472786556308,0.03511412089290193,0.12039127163280662,16.91497366440933,80.36619011788312,70.6162610046608,34.20115374968648,42.55664440421946,71.20239623448866,33.388512666165035,41.545471568566256,democrats,50.719839478304486
ASHE,4539,8082,76,3,7,5660,17504,103,21,739,208,8491,9511,365,18367,2020-03-14,,21275,177,20526,0.8319623971797885,96.47943595769682,0.2869888108761947,427.957763671875,49.71284973886355,21.334900117508813,37.9882491186839,0.3572267920094007,0.01410105757931845,0.03290246768507638,26.603995299647472,86.33137485311399,58.19209039548023,0.48413631022326675,0.5607883704469974,85.27720939296502,82.27497062279672,95.30135569227419,republicans,37.9882491186839
AVERY,1354,6750,53,3,3,3428,10925,76,18,572,87,5341,5967,283,11591,2020-03-14,,14402,744,12900,5.165949173725871,89.57089293153729,0.19427557481734226,247.4388916015625,58.204269776599084,9.401472017775308,46.868490487432304,0.36800444382724623,0.02083044021663658,0.02083044021663658,23.802249687543398,80.48187751701153,10.21505376344086,0.5277044854881267,0.6556811319126908,84.68992248062015,75.85751978891821,94.25416271244931,republicans,46.868490487432304
BEAUFORT,11949,11115,102,8,9,9455,22804,7712,43,2079,468,14298,16912,1428,32638,2020-03-14,,36615,9262,25858,25.29564386180527,70.62133005598798,0.4939175233951525,958.3943359375,38.20452461687731,32.634166325276524,30.35641130684146,0.27857435477263415,0.02184896900177523,0.024580090126997134,25.8227502389731,89.13833128499249,83.26495357374218,21.06240611771132,23.628898829585147,88.18934178977493,62.28048613956029,69.86947729640296,democrats,32.634166325276524
BERTIE,8649,1448,27,2,2,2707,4584,7664,19,568,37,5503,6941,391,12835,2020-03-14,,16024,9752,5808,60.85871193210185,36.24563155267099,0.2161555208216284,741.2837890625,21.61655257599187,53.975287069395904,9.036445332001996,0.16849725411882177,0.012481278082875686,0.012481278082875686,16.893409885172243,80.09860209685472,78.5890073831009,47.82825761357963,59.71172574990261,78.92561983471074,28.607089365951072,35.714842228282045,democrats,53.975287069395904
BLADEN,10850,4373,51,1,7,6679,12596,7926,383,1056,430,9917,11710,334,21961,2020-03-14,,25522,9099,15246,35.651594702609515,59.736697750959955,0.34427865716485273,887.71806640625,28.75011894634604,42.512342292923755,17.134237128751664,0.19982759971789044,0.0039181882297625575,0.027427317608337904,26.169579186584123,86.04733171381554,87.10847345862183,31.055559909098033,36.09125267519694,82.6183917093008,49.353498942089175,57.35622239424434,democrats,42.512342292923755
BRUNSWICK,26040,40988,469,16,35,38390,88975,8569,319,8075,1355,46744,53927,5267,105938,2020-03-14,,103762,10700,88965,10.312060291821668,85.73948073475839,1.3996960279264732,896.3173828125,115.76479714630939,25.095892523274415,39.50193712534454,0.45199591372564135,0.015419903240107169,0.03373103833773443,36.99813033673214,102.09710684065458,80.08411214953271,8.258321929029895,8.08869338669788,100.01124037542854,85.74911817428345,83.98780418735487,republicans,39.50193712534454
