"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37121","Mitchell County, North Carolina","15040","*****","7400","90","1462","57","1439","58","23","28","0","19","23","28","5938","67","5705","88","233","86","59","35","174","76","7640","90","1306","58","1306","58","0","19","0","19","0","19","6334","67","6093","101","241","88","73","55","168","65"
"0500000US37079","Greene County, North Carolina","21008","*****","11593","94","2439","75","2407","80","32","27","0","23","32","27","9154","52","8254","86","900","82","147","58","753","80","9415","94","1949","77","1934","78","15","21","0","23","15","21","7466","47","6813","72","653","85","159","68","494","101"
"0500000US37041","Chowan County, North Carolina","14205","*****","6653","208","1451","205","1400","192","51","84","51","84","0","19","5202","55","5069","119","133","89","82","87","51","45","7552","208","1550","201","1550","201","0","19","0","19","0","19","6002","55","5864","105","138","96","131","95","7","12"
"0500000US37027","Caldwell County, North Carolina","81779","*****","40354","169","8541","143","8473","144","68","72","37","44","31","47","31813","115","30468","194","1345","194","373","138","972","195","41425","169","8329","147","8174","210","155","135","79","101","76","78","33096","86","31834","189","1262","165","424","126","838","151"
"0500000US37035","Catawba County, North Carolina","156729","*****","76703","85","18140","66","17895","116","245","97","47","29","198","91","58563","53","53562","360","5001","355","2125","313","2876","373","80026","85","17217","65","16929","159","288","137","95","51","193","118","62809","52","57390","392","5419","394","2330","364","3089","326"
"0500000US37049","Craven County, North Carolina","103082","*****","52246","175","11527","124","11313","176","214","120","28","41","186","115","40719","140","38820","347","1899","303","743","200","1156","300","50836","175","11241","131","10954","159","287","121","44","53","243","130","39595","104","37340","265","2255","231","1201","216","1054","221"
"0500000US37065","Edgecombe County, North Carolina","53332","*****","24856","120","6352","122","6336","125","16","27","0","29","16","27","18504","35","17883","98","621","106","172","78","449","88","28476","120","5850","122","5823","129","27","33","11","17","16","27","22626","35","22125","75","501","77","118","66","383","73"
"0500000US37085","Harnett County, North Carolina","130361","*****","64574","80","17844","81","17645","122","199","91","84","75","115","65","46730","12","43098","302","3632","299","1230","214","2402","245","65787","80","16921","83","16738","111","183","78","21","28","162","72","48866","12","45046","360","3820","362","1694","269","2126","300"
"0500000US37089","Henderson County, North Carolina","113625","*****","54724","230","11265","218","10974","252","291","173","42","45","249","166","43459","143","39328","357","4131","324","1401","236","2730","318","58901","230","10737","220","10580","258","157","100","72","54","85","80","48164","75","44485","383","3679","381","1816","342","1863","304"
"0500000US37095","Hyde County, North Carolina","5393","*****","2832","146","562","133","562","133","0","17","0","17","0","17","2270","128","2149","128","121","50","41","40","80","70","2561","146","603","120","603","120","0","17","0","17","0","17","1958","115","1840","122","118","60","22","39","96","56"
"0500000US37119","Mecklenburg County, North Carolina","1054314","*****","506721","134","128537","106","121549","630","6988","621","1026","233","5962","595","378184","64","304323","1522","73861","1521","26059","1132","47802","1211","547593","134","125528","106","119184","552","6344","564","1365","271","4979","546","422065","64","350908","1505","71157","1507","28157","985","43000","1208"
"0500000US37131","Northampton County, North Carolina","20186","*****","9845","48","1939","47","1939","47","0","23","0","23","0","23","7906","20","7762","102","144","98","17","15","127","97","10341","48","1688","47","1688","47","0","23","0","23","0","23","8653","20","8472","99","181","97","39","36","142","94"
"0500000US37159","Rowan County, North Carolina","139605","*****","69165","99","16295","60","16182","115","113","97","44","41","69","84","52870","77","49711","260","3159","259","886","202","2273","281","70440","99","15169","61","14899","163","270","152","20","27","250","151","55271","78","52541","317","2730","329","1074","289","1656","342"
"0500000US37181","Vance County, North Carolina","44482","*****","20823","97","5338","60","5169","131","169","116","24","29","145","118","15485","80","14374","184","1111","183","289","157","822","176","23659","97","5263","63","5191","52","72","42","11","19","61","46","18396","74","17555","148","841","165","262","133","579","171"
"0500000US37053","Currituck County, North Carolina","25796","*****","12822","126","2938","117","2938","117","0","23","0","23","0","23","9884","63","9606","156","278","154","108","81","170","132","12974","126","2804","119","2797","117","7","12","0","23","7","12","10170","58","9935","117","235","91","194","83","41","41"
"0500000US37179","Union County, North Carolina","226694","*****","111658","95","32097","69","31294","235","803","241","333","151","470","200","79561","52","69862","492","9699","491","4211","439","5488","433","115036","95","30643","76","30075","164","568","148","247","94","321","119","84393","63","74999","540","9394","537","4575","383","4819","494"
"0500000US37067","Forsyth County, North Carolina","371573","*****","176337","116","44334","114","43137","269","1197","259","215","107","982","230","132003","40","117295","552","14708","551","4869","531","9839","612","195236","116","42461","111","41125","251","1336","254","562","177","774","189","152775","77","137405","568","15370","556","5907","490","9463","527"
"0500000US37127","Nash County, North Carolina","94003","*****","45125","101","10735","68","10594","106","141","78","60","71","81","48","34390","89","32599","191","1791","180","505","149","1286","157","48878","101","10284","67","10077","118","207","99","27","32","180","94","38594","89","36751","236","1843","249","779","166","1064","205"
"0500000US37017","Bladen County, North Carolina","33778","*****","16054","100","3588","93","3562","85","26","37","0","26","26","37","12466","46","11699","102","767","99","119","85","648","122","17724","100","3537","93","3506","101","31","33","2","4","29","34","14187","46","13597","88","590","104","107","85","483","105"
"0500000US37055","Dare County, North Carolina","35741","*****","17614","199","3447","179","3403","185","44","62","0","26","44","62","14167","113","13367","174","800","135","278","107","522","123","18127","199","3462","172","3385","177","77","84","28","39","49","75","14665","121","13873","206","792","171","252","86","540","144"
"0500000US37185","Warren County, North Carolina","20033","*****","9985","105","1903","106","1815","103","88","52","1","3","87","52","8082","25","7782","135","300","132","150","104","150","68","10048","105","1788","107","1759","99","29","39","0","23","29","39","8260","28","8026","96","234","93","139","76","95","52"
"0500000US37195","Wilson County, North Carolina","81336","*****","38362","124","9600","110","9488","101","112","86","0","29","112","86","28762","61","26286","283","2476","270","773","229","1703","232","42974","124","9413","117","9351","139","62","57","0","29","62","57","33561","54","31199","368","2362","367","1032","367","1330","194"
"0500000US37015","Bertie County, North Carolina","19644","*****","9895","79","1792","56","1769","46","23","35","1","6","22","33","8103","65","8030","80","73","39","17","13","56","37","9749","79","1716","70","1716","70","0","19","0","19","0","19","8033","34","7955","37","78","27","22","16","56","35"
