"GEO_ID","id",
"NAME","Geographic Area Name",
"B05003B_001E","Estimate!!Total",
"B05003B_001M","Margin of Error!!Total",
"B05003B_002E","Estimate!!Total!!Male",
"B05003B_002M","Margin of Error!!Total!!Male",
"B05003B_003E","Estimate!!Total!!Male!!Under 18 years",
"B05003B_003M","Margin of Error!!Total!!Male!!Under 18 years",
"B05003B_004E","Estimate!!Total!!Male!!Under 18 years!!Native",
"B05003B_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native",
"B05003B_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born",
"B05003B_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born",
"B05003B_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003B_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003B_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003B_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003B_008E","Estimate!!Total!!Male!!18 years and over",
"B05003B_008M","Margin of Error!!Total!!Male!!18 years and over",
"B05003B_009E","Estimate!!Total!!Male!!18 years and over!!Native",
"B05003B_009M","Margin of Error!!Total!!Male!!18 years and over!!Native",
"B05003B_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born",
"B05003B_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born",
"B05003B_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003B_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003B_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003B_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003B_013E","Estimate!!Total!!Female",
"B05003B_013M","Margin of Error!!Total!!Female",
"B05003B_014E","Estimate!!Total!!Female!!Under 18 years",
"B05003B_014M","Margin of Error!!Total!!Female!!Under 18 years",
"B05003B_015E","Estimate!!Total!!Female!!Under 18 years!!Native",
"B05003B_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native",
"B05003B_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born",
"B05003B_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born",
"B05003B_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003B_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003B_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003B_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003B_019E","Estimate!!Total!!Female!!18 years and over",
"B05003B_019M","Margin of Error!!Total!!Female!!18 years and over",
"B05003B_020E","Estimate!!Total!!Female!!18 years and over!!Native",
"B05003B_020M","Margin of Error!!Total!!Female!!18 years and over!!Native",
"B05003B_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born",
"B05003B_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born",
"B05003B_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003B_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003B_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003B_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
