"GEO_ID","NAME","B05003B_001E","B05003B_001M","B05003B_002E","B05003B_002M","B05003B_003E","B05003B_003M","B05003B_004E","B05003B_004M","B05003B_005E","B05003B_005M","B05003B_006E","B05003B_006M","B05003B_007E","B05003B_007M","B05003B_008E","B05003B_008M","B05003B_009E","B05003B_009M","B05003B_010E","B05003B_010M","B05003B_011E","B05003B_011M","B05003B_012E","B05003B_012M","B05003B_013E","B05003B_013M","B05003B_014E","B05003B_014M","B05003B_015E","B05003B_015M","B05003B_016E","B05003B_016M","B05003B_017E","B05003B_017M","B05003B_018E","B05003B_018M","B05003B_019E","B05003B_019M","B05003B_020E","B05003B_020M","B05003B_021E","B05003B_021M","B05003B_022E","B05003B_022M","B05003B_023E","B05003B_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37121","Mitchell County, North Carolina","53","47","8","13","0","19","0","19","0","19","0","19","0","19","8","13","8","13","0","19","0","19","0","19","45","46","0","19","0","19","0","19","0","19","0","19","45","46","45","46","0","19","0","19","0","19"
"0500000US37079","Greene County, North Carolina","7502","200","4310","167","849","115","849","115","0","23","0","23","0","23","3461","94","3393","104","68","52","21","25","47","46","3192","102","495","68","495","68","0","23","0","23","0","23","2697","72","2674","79","23","31","5","6","18","30"
"0500000US37041","Chowan County, North Carolina","4839","183","2152","220","522","192","522","192","0","19","0","19","0","19","1630","83","1596","99","34","56","34","56","0","19","2687","169","543","169","543","169","0","19","0","19","0","19","2144","49","2131","52","13","22","13","22","0","19"
"0500000US37027","Caldwell County, North Carolina","3990","238","1901","169","449","139","449","139","0","29","0","29","0","29","1452","98","1445","97","7","12","0","29","7","12","2089","165","601","135","601","135","0","29","0","29","0","29","1488","80","1485","81","3","5","3","5","0","29"
"0500000US37035","Catawba County, North Carolina","12772","558","6415","318","1652","251","1652","251","0","29","0","29","0","29","4763","198","4634","231","129","98","106","92","23","32","6357","376","1199","261","1183","256","16","31","0","29","16","31","5158","196","4978","191","180","107","114","92","66","69"
"0500000US37049","Craven County, North Carolina","22362","511","10976","287","2814","204","2814","204","0","29","0","29","0","29","8162","190","7924","243","238","142","94","79","144","132","11386","323","2756","214","2756","214","0","29","0","29","0","29","8630","167","8494","149","136","117","92","108","44","52"
"0500000US37065","Edgecombe County, North Carolina","30549","313","13555","233","3521","166","3521","166","0","29","0","29","0","29","10034","157","10003","158","31","31","23","22","8","13","16994","139","3650","85","3650","85","0","29","0","29","0","29","13344","105","13339","105","5","10","0","29","5","10"
"0500000US37085","Harnett County, North Carolina","27164","690","13488","374","3686","307","3684","307","2","3","2","3","0","29","9802","160","9601","195","201","96","174","91","27","26","13676","380","3293","320","3290","320","3","5","0","29","3","5","10383","144","10054","200","329","137","193","118","136","78"
"0500000US37089","Henderson County, North Carolina","3761","437","1867","228","382","158","382","158","0","29","0","29","0","29","1485","149","1340","126","145","103","23","25","122","100","1894","266","435","130","435","130","0","29","0","29","0","29","1459","161","1398","159","61","57","19","22","42","51"
"0500000US37095","Hyde County, North Carolina","1636","223","996","135","133","63","133","63","0","17","0","17","0","17","863","118","863","118","0","17","0","17","0","17","640","129","117","68","117","68","0","17","0","17","0","17","523","104","523","104","0","17","0","17","0","17"
"0500000US37119","Mecklenburg County, North Carolina","330161","1854","149905","1030","42546","702","41734","706","812","285","127","74","685","277","107359","613","98591","885","8768","790","4101","537","4667","614","180256","1176","42342","600","41517","607","825","219","318","119","507","183","137914","821","128767","1056","9147","836","4637","506","4510","640"
"0500000US37131","Northampton County, North Carolina","11408","262","5445","151","1175","72","1175","72","0","23","0","23","0","23","4270","108","4260","110","10","15","6","11","4","8","5963","155","1012","130","1012","130","0","23","0","23","0","23","4951","51","4908","63","43","42","29","36","14","20"
"0500000US37159","Rowan County, North Carolina","22399","443","10638","267","2815","153","2815","153","0","29","0","29","0","29","7823","250","7715","250","108","73","96","65","12","20","11761","272","2744","161","2744","161","0","29","0","29","0","29","9017","211","8839","220","178","124","156","122","22","28"
"0500000US37181","Vance County, North Carolina","22279","279","10005","211","2758","182","2700","202","58","81","0","26","58","81","7247","84","7094","148","153","130","95","94","58","80","12274","155","2804","152","2804","152","0","26","0","26","0","26","9470","43","9365","108","105","100","12","21","93","98"
"0500000US37053","Currituck County, North Carolina","1473","187","690","137","144","93","144","93","0","23","0","23","0","23","546","64","469","86","77","77","77","77","0","23","783","111","193","94","193","94","0","23","0","23","0","23","590","57","590","57","0","23","0","23","0","23"
"0500000US37179","Union County, North Carolina","25918","658","12532","454","3567","323","3515","328","52","53","0","29","52","53","8965","202","8593","217","372","101","281","82","91","55","13386","330","3327","235","3299","237","28","29","20","22","8","13","10059","190","9573","250","486","164","371","148","115","72"
"0500000US37067","Forsyth County, North Carolina","97010","1009","44157","593","12423","389","12367","390","56","56","56","56","0","29","31734","325","30716","390","1018","277","504","161","514","201","52853","586","11628","367","11520","388","108","94","19","23","89","91","41225","350","40034","328","1191","294","653","188","538","219"
"0500000US37127","Nash County, North Carolina","36821","505","17089","316","4397","205","4386","207","11","18","11","18","0","29","12692","189","12586","210","106","83","94","82","12","16","19732","257","4102","209","4088","208","14","26","14","26","0","29","15630","175","15472","226","158","103","61","54","97","85"
"0500000US37017","Bladen County, North Carolina","11827","191","5306","89","1340","63","1340","63","0","26","0","26","0","26","3966","79","3915","103","51","61","19","31","32","54","6521","131","1356","88","1349","89","7","16","0","26","7","16","5165","65","5159","65","6","11","6","11","0","26"
"0500000US37055","Dare County, North Carolina","779","219","555","155","97","133","97","133","0","26","0","26","0","26","458","59","458","59","0","26","0","26","0","26","224","137","56","61","55","61","1","2","0","26","1","2","168","102","168","102","0","26","0","26","0","26"
"0500000US37185","Warren County, North Carolina","10162","135","4991","99","1001","62","1001","62","0","23","0","23","0","23","3990","56","3876","105","114","92","98","83","16","25","5171","93","1025","60","1025","60","0","23","0","23","0","23","4146","70","4127","80","19","33","12","17","7","28"
"0500000US37195","Wilson County, North Carolina","32094","620","14460","414","3801","216","3801","216","0","29","0","29","0","29","10659","243","10523","255","136","91","48","34","88","82","17634","313","3685","181","3668","180","17","32","0","29","17","32","13949","220","13576","266","373","278","302","269","71","79"
"0500000US37015","Bertie County, North Carolina","11998","275","6039","169","1130","106","1130","106","0","19","0","19","0","19","4909","81","4909","81","0","19","0","19","0","19","5959","152","1116","94","1116","94","0","19","0","19","0","19","4843","85","4843","85","0","19","0","19","0","19"
"0500000US37073","Gates County, North Carolina","3891","121","1888","79","396","69","396","69","0","19","0","19","0","19","1492","37","1492","37","0","19","0","19","0","19","2003","89","350","70","350","70","0","19","0","19","0","19","1653","40","1645","42","8","14","8","14","0","19"
"0500000US37075","Graham County, North Carolina","13","14","13","14","0","17","0","17","0","17","0","17","0","17","13","14","13","14","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"0500000US37117","Martin County, North Carolina","9681","117","4276","103","927","98","927","98","0","23","0","23","0","23","3349","46","3342","44","7","10","0","23","7","10","5405","101","1083","99","1083","99","0","23","0","23","0","23","4322","10","4304","31","18","28","18","28","0","23"
"0500000US37115","Madison County, North Carolina","363","59","255","60","4","7","4","7","0","23","0","23","0","23","251","63","246","60","5","11","0","23","5","11","108","67","5","8","5","8","0","23","0","23","0","23","103","69","103","69","0","23","0","23","0","23"
"0500000US37137","Pamlico County, North Carolina","2324","97","1265","88","99","51","99","51","0","19","0","19","0","19","1166","59","1166","59","0","19","0","19","0","19","1059","38","93","38","93","38","0","19","0","19","0","19","966","19","966","19","0","19","0","19","0","19"
"0500000US37143","Perquimans County, North Carolina","3298","134","1548","123","424","84","424","84","0","19","0","19","0","19","1124","62","1096","45","28","37","0","19","28","37","1750","94","327","79","327","79","0","19","0","19","0","19","1423","55","1389","53","34","36","7","12","27","36"
"0500000US37149","Polk County, North Carolina","1062","90","520","117","192","54","192","54","0","23","0","23","0","23","328","87","326","84","2","22","2","22","0","23","542","120","57","45","57","45","0","23","0","23","0","23","485","99","456","105","29","35","29","35","0","23"
