"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37171","Surry County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37133","Onslow County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37071","Gaston County, North Carolina","159867","185","77406","128","15733","96","15643","147","90","114","28","48","62","103","61673","90","61061","360","612","356","385","304","227","182","82461","79","15032","210","14879","196","153","196","43","70","110","184","67429","79","66711","384","718","375","390","308","328","214"
"0500000US37023","Burke County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37125","Moore County, North Carolina","76129","164","36673","164","7214","210","7214","210","0","210","0","210","0","210","29459","164","28666","554","793","511","688","491","105","158","39456","210","6956","210","6956","210","0","210","0","210","0","210","32500","210","31781","372","719","372","624","346","95","110"
"0500000US37025","Cabarrus County, North Carolina","135112","1293","66173","768","14618","533","14476","566","142","189","142","189","0","210","51555","568","50604","746","951","484","448","303","503","499","68939","552","13647","403","13597","409","50","83","50","83","0","210","55292","408","54469","658","823","499","606","434","217","227"
"0500000US37097","Iredell County, North Carolina","135113","140","66644","140","14214","84","14214","84","0","210","0","210","0","210","52430","119","51174","554","1256","541","687","399","569","392","68469","210","13482","210","13482","210","0","210","0","210","0","210","54987","210","53859","561","1128","561","707","439","421","367"
"0500000US37157","Rockingham County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37069","Franklin County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37161","Rutherford County, North Carolina","55473","210","26738","210","5272","210","5272","210","0","210","0","210","0","210","21466","210","21338","115","128","115","98","100","30","55","28735","210","4985","210","4985","210","0","210","0","210","0","210","23750","210","23501","188","249","188","176","167","73","68"
"0500000US37045","Cleveland County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37109","Lincoln County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37119","Mecklenburg County, North Carolina","505438","1020","247535","546","46706","158","45697","842","1009","809","0","210","1009","809","200829","456","188603","1991","12226","2005","6485","1275","5741","1631","257903","645","44991","59","43698","951","1293","950","51","85","1242","948","212912","637","201243","1941","11669","1904","6250","1108","5419","1453"
"0500000US37019","Brunswick County, North Carolina","112034","353","53142","353","7437","210","7437","210","0","210","0","210","0","210","45705","353","44711","545","994","437","708","355","286","262","58892","210","6969","210","6969","210","0","210","0","210","0","210","51923","210","50911","409","1012","409","851","373","161","177"
"0500000US37127","Nash County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37193","Wilkes County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37151","Randolph County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37081","Guilford County, North Carolina","265176","483","127130","195","22708","195","22360","366","348","306","55","90","293","294","104422","210","100981","1144","3441","1144","1885","655","1556","1036","138046","403","21386","404","20977","563","409","345","0","210","409","345","116660","173","112788","1074","3872","1048","2368","735","1504","710"
"0500000US37089","Henderson County, North Carolina","96950","79","46085","210","7813","210","7730","148","83","148","0","210","83","148","38272","210","37452","409","820","409","506","242","314","279","50865","79","7498","210","7498","210","0","210","0","210","0","210","43367","79","42141","484","1226","503","925","418","301","252"
"0500000US37031","Carteret County, North Carolina","60096","71","29194","71","4970","210","4970","210","0","210","0","210","0","210","24224","71","23869","225","355","194","223","148","132","141","30902","210","4529","210","4529","210","0","210","0","210","0","210","26373","210","25909","270","464","270","259","204","205","151"
"0500000US37155","Robeson County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37183","Wake County, North Carolina","649332","2497","319182","1530","67202","1378","66430","1450","772","511","309","304","463","377","251980","477","240174","2313","11806","2208","6538","1392","5268","1271","330150","1164","64859","419","64406","504","453","251","171","141","282","209","265291","967","252416","2260","12875","2039","7244","1332","5631","1302"
"0500000US37159","Rowan County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37129","New Hanover County, North Carolina","179260","598","85781","210","14455","210","14455","210","0","210","0","210","0","210","71326","210","68934","911","2392","911","1997","950","395","393","93479","598","13631","210","13631","210","0","210","0","210","0","210","79848","598","76519","1174","3329","1117","2068","899","1261","582"
"0500000US37021","Buncombe County, North Carolina","215962","368","102726","248","17787","210","17261","826","526","826","0","210","526","826","84939","248","82813","835","2126","775","1135","493","991","617","113236","187","16935","210","16665","441","270","441","0","210","270","441","96301","187","94059","855","2242","820","1593","703","649","427"
"0500000US37049","Craven County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
