"GEO_ID","id",
"NAME","Geographic Area Name",
"B05003F_001E","Estimate!!Total",
"B05003F_001M","Margin of Error!!Total",
"B05003F_002E","Estimate!!Total!!Male",
"B05003F_002M","Margin of Error!!Total!!Male",
"B05003F_003E","Estimate!!Total!!Male!!Under 18 years",
"B05003F_003M","Margin of Error!!Total!!Male!!Under 18 years",
"B05003F_004E","Estimate!!Total!!Male!!Under 18 years!!Native",
"B05003F_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native",
"B05003F_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born",
"B05003F_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born",
"B05003F_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003F_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003F_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003F_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003F_008E","Estimate!!Total!!Male!!18 years and over",
"B05003F_008M","Margin of Error!!Total!!Male!!18 years and over",
"B05003F_009E","Estimate!!Total!!Male!!18 years and over!!Native",
"B05003F_009M","Margin of Error!!Total!!Male!!18 years and over!!Native",
"B05003F_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born",
"B05003F_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born",
"B05003F_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003F_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003F_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003F_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003F_013E","Estimate!!Total!!Female",
"B05003F_013M","Margin of Error!!Total!!Female",
"B05003F_014E","Estimate!!Total!!Female!!Under 18 years",
"B05003F_014M","Margin of Error!!Total!!Female!!Under 18 years",
"B05003F_015E","Estimate!!Total!!Female!!Under 18 years!!Native",
"B05003F_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native",
"B05003F_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born",
"B05003F_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born",
"B05003F_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003F_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003F_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003F_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003F_019E","Estimate!!Total!!Female!!18 years and over",
"B05003F_019M","Margin of Error!!Total!!Female!!18 years and over",
"B05003F_020E","Estimate!!Total!!Female!!18 years and over!!Native",
"B05003F_020M","Margin of Error!!Total!!Female!!18 years and over!!Native",
"B05003F_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born",
"B05003F_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born",
"B05003F_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003F_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003F_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003F_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
