"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37121","Mitchell County, North Carolina","231","89","138","73","80","52","80","52","0","19","0","19","0","19","58","56","58","56","0","19","0","19","0","19","93","45","51","21","51","21","0","19","0","19","0","19","42","38","42","38","0","19","0","19","0","19"
"0500000US37079","Greene County, North Carolina","582","209","355","142","161","90","161","90","0","23","0","23","0","23","194","87","182","85","12","12","8","10","4","8","227","110","109","73","109","73","0","23","0","23","0","23","118","63","93","48","25","32","25","32","0","23"
"0500000US37041","Chowan County, North Carolina","236","150","118","91","105","82","105","82","0","19","0","19","0","19","13","23","13","23","0","19","0","19","0","19","118","97","89","80","89","80","0","19","0","19","0","19","29","49","29","49","0","19","0","19","0","19"
"0500000US37027","Caldwell County, North Carolina","1188","355","624","190","337","156","337","156","0","29","0","29","0","29","287","122","253","115","34","51","12","24","22","46","564","215","378","177","378","177","0","29","0","29","0","29","186","103","167","98","19","23","7","12","12","19"
"0500000US37035","Catawba County, North Carolina","3433","584","1487","319","846","252","836","252","10","15","10","15","0","29","641","212","613","208","28","35","17","30","11","19","1946","418","1207","293","1201","293","6","10","0","29","6","10","739","211","712","212","27","26","11","18","16","18"
"0500000US37049","Craven County, North Carolina","2552","625","1242","374","586","242","586","242","0","29","0","29","0","29","656","198","649","199","7","15","0","29","7","15","1310","362","593","212","593","212","0","29","0","29","0","29","717","243","697","239","20","29","10","19","10","21"
"0500000US37065","Edgecombe County, North Carolina","1004","313","665","241","426","192","426","192","0","29","0","29","0","29","239","135","239","135","0","29","0","29","0","29","339","123","204","92","204","92","0","29","0","29","0","29","135","65","126","64","9","15","9","15","0","29"
"0500000US37085","Harnett County, North Carolina","5356","639","2614","367","1559","289","1555","290","4","6","4","6","0","29","1055","178","971","171","84","55","67","50","17","21","2742","380","1747","323","1747","323","0","29","0","29","0","29","995","188","946","180","49","35","49","35","0","29"
"0500000US37089","Henderson County, North Carolina","1926","406","986","242","472","175","472","175","0","29","0","29","0","29","514","161","494","168","20","46","0","29","20","46","940","275","426","177","426","177","0","29","0","29","0","29","514","163","483","162","31","58","0","29","31","58"
