"GEO_ID","id",
"NAME","Geographic Area Name",
"B05003G_001E","Estimate!!Total",
"B05003G_001M","Margin of Error!!Total",
"B05003G_002E","Estimate!!Total!!Male",
"B05003G_002M","Margin of Error!!Total!!Male",
"B05003G_003E","Estimate!!Total!!Male!!Under 18 years",
"B05003G_003M","Margin of Error!!Total!!Male!!Under 18 years",
"B05003G_004E","Estimate!!Total!!Male!!Under 18 years!!Native",
"B05003G_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native",
"B05003G_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born",
"B05003G_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born",
"B05003G_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003G_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003G_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003G_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003G_008E","Estimate!!Total!!Male!!18 years and over",
"B05003G_008M","Margin of Error!!Total!!Male!!18 years and over",
"B05003G_009E","Estimate!!Total!!Male!!18 years and over!!Native",
"B05003G_009M","Margin of Error!!Total!!Male!!18 years and over!!Native",
"B05003G_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born",
"B05003G_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born",
"B05003G_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003G_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003G_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003G_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003G_013E","Estimate!!Total!!Female",
"B05003G_013M","Margin of Error!!Total!!Female",
"B05003G_014E","Estimate!!Total!!Female!!Under 18 years",
"B05003G_014M","Margin of Error!!Total!!Female!!Under 18 years",
"B05003G_015E","Estimate!!Total!!Female!!Under 18 years!!Native",
"B05003G_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native",
"B05003G_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born",
"B05003G_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born",
"B05003G_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003G_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003G_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003G_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003G_019E","Estimate!!Total!!Female!!18 years and over",
"B05003G_019M","Margin of Error!!Total!!Female!!18 years and over",
"B05003G_020E","Estimate!!Total!!Female!!18 years and over!!Native",
"B05003G_020M","Margin of Error!!Total!!Female!!18 years and over!!Native",
"B05003G_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born",
"B05003G_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born",
"B05003G_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003G_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003G_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003G_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
