"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37171","Surry County, North Carolina","7764","*****","3978","310","1739","228","1359","616","380","500","0","210","380","500","2239","198","911","560","1328","531","354","359","974","528","3786","311","1489","228","1121","399","368","430","33","60","335","446","2297","198","880","371","1417","402","462","344","955","443"
"0500000US37133","Onslow County, North Carolina","25261","*****","13981","851","3409","715","3409","715","0","210","0","210","0","210","10572","388","9087","950","1485","959","1231","927","254","306","11280","851","4177","715","4177","715","0","210","0","210","0","210","7103","388","5617","610","1486","684","1056","584","430","393"
"0500000US37071","Gaston County, North Carolina","16180","*****","8209","505","3179","505","2985","490","194","229","113","188","81","134","5030","*****","1494","492","3536","491","1020","446","2516","608","7971","505","2926","505","2813","600","113","188","113","188","0","210","5045","*****","2043","573","3002","573","854","458","2148","519"
"0500000US37023","Burke County, North Carolina","5648","*****","3298","412","1309","356","1309","356","0","210","0","210","0","210","1989","236","750","473","1239","473","360","363","879","431","2350","412","875","356","778","443","97","167","0","210","97","167","1475","236","393","330","1082","408","285","256","797","407"
"0500000US37125","Moore County, North Carolina","6709","*****","3516","589","1422","547","1279","537","143","179","68","120","75","133","2094","222","887","506","1207","456","192","258","1015","472","3193","589","1250","547","1183","593","67","120","67","120","0","210","1943","222","862","417","1081","341","382","262","699","386"
"0500000US37025","Cabarrus County, North Carolina","22787","*****","11448","1273","5363","1192","5224","1166","139","177","77","120","62","125","6085","308","2617","1057","3468","1029","801","497","2667","983","11339","1274","4188","1191","4188","1191","0","210","0","210","0","210","7151","308","4230","785","2921","738","1388","655","1533","684"
"0500000US37097","Iredell County, North Carolina","13936","*****","7007","388","2377","388","2022","526","355","333","58","95","297","314","4630","*****","1468","602","3162","602","1146","541","2016","597","6929","388","2558","388","2284","435","274","340","0","210","274","340","4371","*****","1676","520","2695","520","582","296","2113","486"
"0500000US37157","Rockingham County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37069","Franklin County, North Carolina","5763","*****","2689","220","771","186","771","186","0","210","0","210","0","210","1918","101","715","428","1203","450","214","266","989","480","3074","220","1463","186","1409","212","54","110","54","110","0","210","1611","101","647","287","964","306","182","83","782","276"
"0500000US37161","Rutherford County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37045","Cleveland County, North Carolina","3573","*****","1540","362","576","241","576","241","0","210","0","210","0","210","964","221","367","350","597","300","52","49","545","292","2033","362","907","241","480","450","427","477","0","210","427","477","1126","221","758","250","368","294","48","102","320","286"
"0500000US37109","Lincoln County, North Carolina","5999","*****","2800","588","869","465","759","465","110","204","110","204","0","210","1931","354","476","252","1455","425","810","379","645","556","3199","588","1126","465","1126","465","0","210","0","210","0","210","2073","354","809","349","1264","397","796","452","468","379"
"0500000US37119","Mecklenburg County, North Carolina","148350","*****","74989","*****","27417","*****","24760","1212","2657","1212","36","61","2621","1217","47572","*****","14441","1884","33131","1884","8623","1535","24508","2127","73361","*****","26533","*****","22933","1346","3600","1345","100","121","3500","1338","46828","*****","15186","1988","31642","1988","8283","1329","23359","2049"
"0500000US37019","Brunswick County, North Carolina","6663","*****","3529","454","1414","405","1242","396","172","351","0","210","172","351","2115","217","919","668","1196","616","306","360","890","644","3134","454","978","405","978","405","0","210","0","210","0","210","2156","217","1467","512","689","490","188","197","501","458"
"0500000US37127","Nash County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37193","Wilkes County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37151","Randolph County, North Carolina","16774","*****","8613","567","3652","585","3652","585","0","210","0","210","0","210","4961","286","606","399","4355","381","478","352","3877","419","8161","567","3089","584","2668","871","421","505","0","210","421","505","5072","286","1539","683","3533","767","937","580","2596","954"
"0500000US37081","Guilford County, North Carolina","43495","*****","21974","*****","8713","*****","8281","363","432","363","62","106","370","352","13261","*****","5745","1020","7516","1020","1810","718","5706","978","21521","*****","8524","*****","8360","226","164","226","0","210","164","226","12997","*****","5218","1019","7779","1019","2589","817","5190","1014"
"0500000US37089","Henderson County, North Carolina","12113","*****","6576","1342","3018","1297","3018","1297","0","210","0","210","0","210","3558","280","858","708","2700","728","559","626","2141","848","5537","1342","1597","1296","1597","1296","0","210","0","210","0","210","3940","280","2262","947","1678","911","651","496","1027","597"
"0500000US37031","Carteret County, North Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US37155","Robeson County, North Carolina","11874","*****","6835","440","3173","421","2945","598","228","300","0","210","228","300","3662","139","1224","373","2438","314","475","307","1963","340","5039","440","2649","420","2532","383","117","194","0","210","117","194","2390","140","815","273","1575","275","367","263","1208","356"
