"GEO_ID","id",
"NAME","Geographic Area Name",
"B05003I_001E","Estimate!!Total",
"B05003I_001M","Margin of Error!!Total",
"B05003I_002E","Estimate!!Total!!Male",
"B05003I_002M","Margin of Error!!Total!!Male",
"B05003I_003E","Estimate!!Total!!Male!!Under 18 years",
"B05003I_003M","Margin of Error!!Total!!Male!!Under 18 years",
"B05003I_004E","Estimate!!Total!!Male!!Under 18 years!!Native",
"B05003I_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native",
"B05003I_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born",
"B05003I_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born",
"B05003I_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003I_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003I_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003I_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003I_008E","Estimate!!Total!!Male!!18 years and over",
"B05003I_008M","Margin of Error!!Total!!Male!!18 years and over",
"B05003I_009E","Estimate!!Total!!Male!!18 years and over!!Native",
"B05003I_009M","Margin of Error!!Total!!Male!!18 years and over!!Native",
"B05003I_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born",
"B05003I_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born",
"B05003I_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003I_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003I_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003I_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003I_013E","Estimate!!Total!!Female",
"B05003I_013M","Margin of Error!!Total!!Female",
"B05003I_014E","Estimate!!Total!!Female!!Under 18 years",
"B05003I_014M","Margin of Error!!Total!!Female!!Under 18 years",
"B05003I_015E","Estimate!!Total!!Female!!Under 18 years!!Native",
"B05003I_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native",
"B05003I_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born",
"B05003I_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born",
"B05003I_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003I_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003I_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003I_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003I_019E","Estimate!!Total!!Female!!18 years and over",
"B05003I_019M","Margin of Error!!Total!!Female!!18 years and over",
"B05003I_020E","Estimate!!Total!!Female!!18 years and over!!Native",
"B05003I_020M","Margin of Error!!Total!!Female!!18 years and over!!Native",
"B05003I_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born",
"B05003I_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born",
"B05003I_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003I_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003I_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003I_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
