"GEO_ID","id",
"NAME","Geographic Area Name",
"B05003D_001E","Estimate!!Total",
"B05003D_001M","Margin of Error!!Total",
"B05003D_002E","Estimate!!Total!!Male",
"B05003D_002M","Margin of Error!!Total!!Male",
"B05003D_003E","Estimate!!Total!!Male!!Under 18 years",
"B05003D_003M","Margin of Error!!Total!!Male!!Under 18 years",
"B05003D_004E","Estimate!!Total!!Male!!Under 18 years!!Native",
"B05003D_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native",
"B05003D_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born",
"B05003D_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born",
"B05003D_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003D_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003D_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003D_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003D_008E","Estimate!!Total!!Male!!18 years and over",
"B05003D_008M","Margin of Error!!Total!!Male!!18 years and over",
"B05003D_009E","Estimate!!Total!!Male!!18 years and over!!Native",
"B05003D_009M","Margin of Error!!Total!!Male!!18 years and over!!Native",
"B05003D_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born",
"B05003D_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born",
"B05003D_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003D_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003D_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003D_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003D_013E","Estimate!!Total!!Female",
"B05003D_013M","Margin of Error!!Total!!Female",
"B05003D_014E","Estimate!!Total!!Female!!Under 18 years",
"B05003D_014M","Margin of Error!!Total!!Female!!Under 18 years",
"B05003D_015E","Estimate!!Total!!Female!!Under 18 years!!Native",
"B05003D_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native",
"B05003D_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born",
"B05003D_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born",
"B05003D_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003D_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen",
"B05003D_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003D_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen",
"B05003D_019E","Estimate!!Total!!Female!!18 years and over",
"B05003D_019M","Margin of Error!!Total!!Female!!18 years and over",
"B05003D_020E","Estimate!!Total!!Female!!18 years and over!!Native",
"B05003D_020M","Margin of Error!!Total!!Female!!18 years and over!!Native",
"B05003D_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born",
"B05003D_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born",
"B05003D_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003D_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen",
"B05003D_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"B05003D_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
