"GEO_ID","NAME","B05003D_001E","B05003D_001M","B05003D_002E","B05003D_002M","B05003D_003E","B05003D_003M","B05003D_004E","B05003D_004M","B05003D_005E","B05003D_005M","B05003D_006E","B05003D_006M","B05003D_007E","B05003D_007M","B05003D_008E","B05003D_008M","B05003D_009E","B05003D_009M","B05003D_010E","B05003D_010M","B05003D_011E","B05003D_011M","B05003D_012E","B05003D_012M","B05003D_013E","B05003D_013M","B05003D_014E","B05003D_014M","B05003D_015E","B05003D_015M","B05003D_016E","B05003D_016M","B05003D_017E","B05003D_017M","B05003D_018E","B05003D_018M","B05003D_019E","B05003D_019M","B05003D_020E","B05003D_020M","B05003D_021E","B05003D_021M","B05003D_022E","B05003D_022M","B05003D_023E","B05003D_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37121","Mitchell County, North Carolina","45","48","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","45","48","0","19","0","19","0","19","0","19","0","19","45","48","0","19","45","48","17","29","28","33"
"0500000US37079","Greene County, North Carolina","20","26","18","26","0","23","0","23","0","23","0","23","0","23","18","26","10","21","8","16","8","16","0","23","2","4","0","23","0","23","0","23","0","23","0","23","2","4","0","23","2","4","0","23","2","4"
"0500000US37041","Chowan County, North Carolina","73","127","22","40","0","19","0","19","0","19","0","19","0","19","22","40","22","40","0","19","0","19","0","19","51","88","28","49","28","49","0","19","0","19","0","19","23","40","23","40","0","19","0","19","0","19"
"0500000US37027","Caldwell County, North Carolina","461","118","198","118","70","75","54","70","16","28","16","28","0","29","128","66","0","29","128","66","109","66","19","27","263","83","47","63","32","57","15","25","15","25","0","29","216","63","36","50","180","66","129","60","51","51"
"0500000US37035","Catawba County, North Carolina","6611","156","3340","90","1175","80","1052","117","123","82","24","15","99","77","2165","28","815","140","1350","138","998","139","352","145","3271","114","1017","90","908","121","109","81","45","32","64","75","2254","65","669","217","1585","211","1025","199","560","220"
"0500000US37049","Craven County, North Carolina","2848","340","1332","243","477","127","338","141","139","87","24","40","115","77","855","170","295","195","560","175","238","113","322","186","1516","199","497","101","236","111","261","124","44","53","217","134","1019","182","143","97","876","160","525","136","351","155"
"0500000US37065","Edgecombe County, North Carolina","55","39","33","32","0","29","0","29","0","29","0","29","0","29","33","32","0","29","33","32","33","32","0","29","22","24","11","17","0","29","11","17","11","17","0","29","11","17","0","29","11","17","11","17","0","29"
"0500000US37085","Harnett County, North Carolina","1407","214","501","123","150","79","89","65","61","50","32","37","29","33","351","73","165","68","186","57","117","54","69","47","906","119","170","75","129","73","41","34","0","29","41","34","736","84","155","69","581","91","425","99","156","72"
"0500000US37089","Henderson County, North Carolina","1526","106","628","68","152","56","87","56","65","55","20","30","45","50","476","38","40","40","436","55","256","74","180","70","898","99","219","58","147","60","72","54","72","54","0","29","679","70","35","43","644","82","325","84","319","104"
