cvap.all_races(count),CountyName,cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%)
11930,MITCHELL,53,11452,0.44425817267393125,95.99329421626153,0.16092956586383092
15373,GREENE,6093,8262,39.63442399011254,53.743576400182135,0.20737386555110418
11146,CHOWAN,3774,7057,33.85968060290687,63.314193432621565,0.15035380897889852
63099,CALDWELL,2933,58071,4.648251160874182,92.0315694385014,0.8511730659213635
115407,CATAWBA,9832,96398,8.519413900369996,83.5287287599539,1.5567810903308579
78104,CRAVEN,16604,55120,21.258834374679914,70.57256990679095,1.0535828006897443
40298,EDGECOMBE,23365,15945,57.98054494019554,39.567720482406074,0.543599299679854
91068,HARNETT,20022,61667,21.985768876004744,67.71533359687267,1.2284604948941622
87030,HENDERSON,2780,78722,3.19430081581064,90.45386648282202,1.1739899511424312
4052,HYDE,1386,2499,34.20533070088845,61.67324777887463,0.054659396553247516
709447,MECKLENBURG,236096,395360,33.27887777381538,55.72791202161684,9.570075248398764
16290,NORTHAMPTON,9203,6620,56.49478207489257,40.63842848373235,0.21974372405044473
104212,ROWAN,16806,81410,16.126741642037384,78.11960234905769,1.405766296546651
32480,VANCE,16566,14709,51.00369458128079,45.28633004926108,0.4381384995186277
19843,CURRITUCK,1136,17563,5.724940785163533,88.50980194527037,0.26767186717820596
153647,UNION,18818,121666,12.247554459247496,79.18540550742937,2.0726190281877646
265476,FORSYTH,71907,172547,27.08606427699679,64.99532914463077,3.5811347382452956
70634,NASH,28213,38595,39.942520599144885,54.640824532095024,0.9528163415947891
25522,BLADEN,9099,15246,35.651594702609515,59.736697750959955,0.34427865716485273
27770,DARE,626,25786,2.254231184731725,92.85559956787901,0.3746030212940976
16097,WARREN,8113,6661,50.4006957818227,41.38038143753494,0.2171402532866795
59290,WILSON,24449,31481,41.236296171361104,53.09664361612413,0.7997916144230122
16024,BERTIE,9752,5808,60.85871193210185,36.24563155267099,0.2161555208216284
9142,GATES,3145,5795,34.40166265587399,63.388755195799604,0.12332087939037237
6748,GRAHAM,13,6049,0.19264967397747482,89.64137522228809,0.09102705033102523
18005,MARTIN,7664,9870,42.56595390169397,54.81810608164399,0.24287819223623436
17302,MADISON,349,16421,2.0171078488036067,94.90810310946712,0.233395083702934
10572,PAMLICO,2132,8061,20.166477487703368,76.24858115777525,0.1426108441167159
10751,PERQUIMANS,2492,7942,23.179239140545064,73.8721979350758,0.1450254620789645
16692,POLK,813,15120,4.8705966930266,90.5823148813803,0.2251664973511371
