cvap.white(count),CountyName
11452,MITCHELL
8262,GREENE
7057,CHOWAN
58071,CALDWELL
96398,CATAWBA
55120,CRAVEN
15945,EDGECOMBE
61667,HARNETT
78722,HENDERSON
2499,HYDE
395360,MECKLENBURG
6620,NORTHAMPTON
81410,ROWAN
14709,VANCE
17563,CURRITUCK
121666,UNION
172547,FORSYTH
38595,NASH
15246,BLADEN
25786,DARE
6661,WARREN
31481,WILSON
5808,BERTIE
5795,GATES
6049,GRAHAM
9870,MARTIN
16421,MADISON
8061,PAMLICO
7942,PERQUIMANS
15120,POLK
90833,RANDOLPH
53939,ROCKINGHAM
33987,STOKES
4630,WASHINGTON
6464,CAMDEN
8366,CLAY
114659,CUMBERLAND
126462,GASTON
217532,GUILFORD
29295,JACKSON
60020,MOORE
28303,ROBESON
39737,STANLY
487769,WAKE
13559,YANCEY
41593,CHATHAM
32124,MCDOWELL
100022,JOHNSTON
4960,JONES
20847,PERSON
88965,BRUNSWICK
20526,ASHE
25858,BEAUFORT
23189,LENOIR
44887,RUTHERFORD
55369,LINCOLN
100276,ONSLOW
80545,ORANGE
26491,SAMPSON
25998,YADKIN
12900,AVERY
60714,BURKE
11345,CASWELL
28512,DAVIE
25046,DUPLIN
107439,DURHAM
28283,LEE
143676,NEW HANOVER
53400,WAYNE
12615,SCOTLAND
16426,HALIFAX
84558,ALAMANCE
46323,HAYWOOD
8104,ALLEGHANY
57039,CLEVELAND
27815,GRANVILLE
16039,HOKE
103122,IREDELL
80498,PITT
21065,CHEROKEE
48518,WILKES
25940,ALEXANDER
49642,CARTERET
17357,PASQUOTANK
7358,SWAIN
9348,ANSON
32786,FRANKLIN
25490,MACON
25613,TRANSYLVANIA
26953,COLUMBUS
14347,MONTGOMERY
20919,RICHMOND
49243,SURRY
175761,BUNCOMBE
104393,CABARRUS
105834,DAVIDSON
6811,HERTFORD
34911,PENDER
43474,WATAUGA
2013,TYRRELL
