Democrats,Republicans,Libertarians,Green,Constitution,Unaffiliated,White,Black,AmericanIndian,Other,Hispanic,Male,Female,UnDisclosedGender,Total,cvap_all_races,Democrats_pct,Republicans_pct,Libertarians_pct,Green_pct,Constitution_pct,Unaffiliated_pct,Total_pct,CountyName
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALAMANCE
1.0,6.0,0.0,0.0,0.0,-22.0,6.0,-10.0,1.0,-12.0,0.0,-8.0,2.0,-9.0,-15.0,115973,0.000862269666214388,0.005173617997289881,0.0,0.0,0.0,-0.018969932656737853,-0.012934044993230032,ALAMANCE
58.0,23.0,0.0,0.0,0.0,1.0,70.0,7.0,1.0,4.0,11.0,38.0,51.0,-7.0,82.0,115973,0.05001164064049135,0.01983220232295224,0.0,0.0,0.0,0.0008622696662179408,0.07070611262966509,ALAMANCE
59.0,22.0,-1.0,-1.0,0.0,-3.0,66.0,6.0,1.0,3.0,9.0,35.0,49.0,-8.0,76.0,115973,0.05087391030670929,0.018969932656737853,-0.0008622696662154428,-0.0008622696662154115,0.0,-0.002586808998643164,0.06553249463237876,ALAMANCE
113.0,36.0,-2.0,-1.0,-2.0,8.0,116.0,26.0,2.0,8.0,15.0,60.0,99.0,-7.0,152.0,115973,0.09743647228233954,0.031041707983753497,-0.00172453933243083,-0.0008622696662154115,-0.001724539332430823,0.0068981573297257626,0.1310649892647433,ALAMANCE
99.0,131.0,-5.0,0.0,-5.0,109.0,182.0,61.0,2.0,84.0,40.0,119.0,168.0,42.0,329.0,115973,0.0853646969553239,0.11295732627421984,-0.004311348331077047,0.0,-0.004311348331077061,0.09398739361748198,0.28368672018487473,ALAMANCE
91.0,145.0,-16.0,1.0,-5.0,161.0,194.0,76.0,1.0,106.0,42.0,139.0,174.0,64.0,377.0,115973,0.07846653962560168,0.12502910160123548,-0.013796314659446585,0.0008622696662154133,-0.004311348331077061,0.13882541626068345,0.325075664163208,ALAMANCE
199.0,325.0,-17.0,2.0,-3.0,355.0,428.0,183.0,2.0,248.0,82.0,317.0,380.0,164.0,861.0,115973,0.17159166357686573,0.2802376415200065,-0.014658584325662027,0.0017245393324308248,-0.002586808998646238,0.3061057315064737,0.7424141826114692,ALAMANCE
194.0,335.0,-16.0,2.0,-1.0,369.0,420.0,187.0,2.0,274.0,84.0,316.0,383.0,184.0,883.0,115973,0.16728031524579023,0.28886033818216106,-0.013796314659446585,0.0017245393324308248,-0.0008622696662154081,0.31817750683348933,0.7613841152682141,ALAMANCE
215.0,352.0,-16.0,2.0,-1.0,396.0,423.0,198.0,2.0,325.0,87.0,322.0,398.0,228.0,948.0,115973,0.1853879782363137,0.3035189225078234,-0.013796314659446585,0.0017245393324308248,-0.0008622696662154081,0.34145878782130623,0.8174316435722062,ALAMANCE
239.0,373.0,-15.0,1.0,-1.0,417.0,438.0,206.0,2.0,368.0,90.0,330.0,422.0,262.0,1014.0,115973,0.20608245022548033,0.3216265854983469,-0.012934044993231197,0.0008622696662154133,-0.0008622696662154081,0.3595664508118297,0.8743414415424269,ALAMANCE
247.0,392.0,-18.0,1.0,-1.0,440.0,440.0,214.0,1.0,406.0,95.0,349.0,424.0,288.0,1061.0,115973,0.2129806075552061,0.3380097091564416,-0.015520853991877415,0.0008622696662154133,-0.0008622696662154081,0.37939865313478194,0.91486811585456,ALAMANCE
268.0,416.0,-16.0,1.0,0.0,461.0,470.0,219.0,1.0,440.0,97.0,363.0,459.0,308.0,1130.0,115973,0.23108827054572956,0.35870418114561176,-0.013796314659446585,0.0008622696662154133,0.0,0.3975063161253054,0.9743647228234238,ALAMANCE
217.0,384.0,-15.0,1.0,1.0,454.0,376.0,200.0,1.0,465.0,100.0,311.0,404.0,327.0,1042.0,115973,0.18711251756874248,0.3311115518267158,-0.012934044993231197,0.0008622696662154133,0.000862269666215415,0.3914704284617976,0.8984849921964582,ALAMANCE
156.0,361.0,-16.0,1.0,1.0,442.0,294.0,169.0,1.0,481.0,101.0,243.0,362.0,340.0,945.0,115973,0.1345140679296044,0.31127934950376357,-0.013796314659446585,0.0008622696662154133,0.000862269666215415,0.38112319246721427,0.814844834573563,ALAMANCE
151.0,368.0,-15.0,2.0,1.0,461.0,272.0,174.0,0.0,522.0,100.0,234.0,356.0,378.0,968.0,115973,0.13020271959852536,0.3173152371672714,-0.012934044993231197,0.0017245393324308248,0.000862269666215415,0.3975063161253054,0.8346770368965224,ALAMANCE
170.0,378.0,-11.0,2.0,2.0,481.0,243.0,169.0,0.0,610.0,108.0,227.0,341.0,454.0,1022.0,115973,0.14658584325662005,0.32593793382942593,-0.009484966328369537,0.0017245393324308248,0.001724539332430823,0.4147517094496145,0.8812395988721562,ALAMANCE
201.0,397.0,-12.0,2.0,1.0,506.0,244.0,157.0,0.0,694.0,110.0,223.0,334.0,538.0,1095.0,115973,0.17331620290929806,0.34232105748751707,-0.01034723599458498,0.0017245393324308248,0.000862269666215415,0.43630845110499905,0.9441852845058776,ALAMANCE
206.0,411.0,-9.0,2.0,3.0,566.0,223.0,158.0,1.0,797.0,120.0,207.0,339.0,633.0,1179.0,115973,0.17762755124037355,0.3543928328145327,-0.007760426995938707,0.0017245393324308248,0.002586808998646238,0.4880446310779263,1.0166159364679714,ALAMANCE
210.0,422.0,-8.0,2.0,3.0,570.0,220.0,160.0,1.0,818.0,123.0,208.0,340.0,651.0,1199.0,115973,0.18107662990523465,0.36387779914290164,-0.00689815732972332,0.0017245393324308248,0.002586808998646238,0.4914937097427874,1.0338613297922876,ALAMANCE
223.0,437.0,-6.0,2.0,2.0,598.0,218.0,165.0,1.0,872.0,124.0,213.0,339.0,704.0,1256.0,115973,0.1922861355660359,0.3768118441361352,-0.00517361799729249,0.0017245393324308248,0.001724539332430823,0.5156372603968187,1.0830107007665646,ALAMANCE
223.0,453.0,-5.0,2.0,2.0,612.0,185.0,168.0,1.0,933.0,129.0,201.0,326.0,760.0,1287.0,115973,0.1922861355660359,0.39060815879557964,-0.004311348331077047,0.0017245393324308248,0.001724539332430823,0.5277090357238343,1.109741060419239,ALAMANCE
