County,LocationName,Address,Dates
UNION,MONROE HIGH SCHOOL,"1 HIGH SCHOOL DR, MONROE, NC 28112","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 3:00PM
 10/18/20, 1:00PM - 5:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 3:00PM
 10/25/20, 1:00PM - 5:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
BUNCOMBE,UNIVERSITY OF NORTH CAROLINA ASHEVILLE,"1 UNIVERSITY HTS, ASHEVILLE, NC 28804","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 10:00AM - 3:00PM
 10/18/20, 10:00AM - 3:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 10:00AM - 3:00PM
 10/25/20, 10:00AM - 3:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
MITCHELL,SPRUCE PINE FIRE DE3PARTMENT,"100 FIRE FIGHTER WAY, SPRUCE PINE, NC 28777","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 6:00PM
 10/18/20, Closed
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 6:00PM
 10/25/20, Closed
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
CARTERET,FORT BENJAMIN PARK RECREATION CENTER,"100 MCQUEEN AVE, NEWPORT, NC 28570","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 7:30PM
 10/18/20, Closed
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 7:30PM
 10/25/20, Closed
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
WASHINGTON,WASHINGTON COUNTY ROPER ANNEX,"100 NC HWY 32 NCK, ROPER, NC 27970","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 3:00PM
 10/18/20, 12:00PM - 4:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 3:00PM
 10/25/20, 12:00PM - 4:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
ONSLOW,COMMONS REC CENTER,"100 RECREATION CIR, JACKSONVILLE, NC 28546","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 7:30PM
 10/18/20, Closed
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 7:30PM
 10/25/20, Closed
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
STANLY,STANLY COUNTY BOARD OF ELECTIONS OFFICE,"1000 N FIRST ST # AUD, ALBEMARLE, NC 28001","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 7:30PM
 10/18/20, Closed
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 7:30PM
 10/25/20, Closed
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
WAYNE,LIBRARY,"1001 E ASH ST, GOLDSBORO, NC 27530","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 9:00AM - 3:00PM
 10/18/20, 12:00PM - 4:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 9:00AM - 3:00PM
 10/25/20, 12:00PM - 4:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
WAKE,ZB - ZEBULON - EASTERN REGIONAL CENTER,"1002 DOGWOOD DR, ZEBULON, NC 27597","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 1:00PM
 10/18/20, 1:00PM - 6:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 1:00PM
 10/25/20, 1:00PM - 6:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
BRUNSWICK,THE BRUNSWICK CENTER AT CALABASH,"10050 BEACH DR SW, CALABASH, NC 28467","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 10:00AM - 4:00PM
 10/18/20, 12:00PM - 5:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 10:00AM - 4:00PM
 10/25/20, 12:00PM - 5:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
NASH,BOARD OF ELECTIONS AUDITORIUM,"1006 EASTERN AVE, NASHVILLE, NC 27856","10/15/20, 8:00AM - 7:30PM
 10/16/20, 8:00AM - 7:30PM
 10/17/20, 8:00AM - 3:00PM
 10/18/20, 12:00PM - 3:00PM
 10/19/20, 8:00AM - 7:30PM
 10/20/20, 8:00AM - 7:30PM
 10/21/20, 8:00AM - 7:30PM
 10/22/20, 8:00AM - 7:30PM
 10/23/20, 8:00AM - 7:30PM
 10/24/20, 8:00AM - 3:00PM
 10/25/20, 12:00PM - 3:00PM
 10/26/20, 8:00AM - 7:30PM
 10/27/20, 8:00AM - 7:30PM
 10/28/20, 8:00AM - 7:30PM
 10/29/20, 8:00AM - 7:30PM
 10/30/20, 8:00AM - 7:30PM
 10/31/20, 8:00AM - 3:00PM"
