CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian
ALAMANCE,36792,33375,556,17,42,31955,70181,21076,258,11222,3998,44020,53978,4739,102737,2020-03-14,
ALEXANDER,5242,10930,91,1,15,7518,21612,931,35,1219,334,11145,12006,646,23797,2020-03-14,
ALLEGHANY,2194,2704,33,2,1,2259,6666,73,7,447,177,3330,3606,257,7193,2020-03-14,
ANSON,10111,2478,29,7,24,3372,6656,6818,27,2520,82,6205,7558,2258,16021,2020-03-14,
ASHE,4539,8082,76,3,7,5660,17504,103,21,739,208,8491,9511,365,18367,2020-03-14,
AVERY,1354,6750,53,3,3,3428,10925,76,18,572,87,5341,5967,283,11591,2020-03-14,
BEAUFORT,11949,11115,102,8,9,9455,22804,7712,43,2079,468,14298,16912,1428,32638,2020-03-14,
BERTIE,8649,1448,27,2,2,2707,4584,7664,19,568,37,5503,6941,391,12835,2020-03-14,
BLADEN,10850,4373,51,1,7,6679,12596,7926,383,1056,430,9917,11710,334,21961,2020-03-14,
BRUNSWICK,26040,40988,469,16,35,38390,88975,8569,319,8075,1355,46744,53927,5267,105938,2020-03-14,
BUNCOMBE,74301,44660,1521,157,79,75502,166570,10577,379,18694,3900,85839,101388,8993,196220,2020-03-14,
BURKE,15417,20355,285,18,25,18487,47486,3166,79,3856,943,25023,28136,1428,54587,2020-03-14,
CABARRUS,41493,49130,926,46,83,47566,94927,26180,351,17786,5217,60348,71385,7511,139244,2020-03-14,
CALDWELL,11582,24047,362,31,19,15351,46036,2691,65,2600,869,23958,26399,1035,51392,2020-03-14,
CAMDEN,1809,2585,60,0,2,3224,6289,963,10,418,35,3635,3850,195,7680,2020-03-14,
CARTERET,10659,23063,247,5,12,18394,46499,2472,96,3313,546,23526,26569,2285,52380,2020-03-14,
CASWELL,6895,3425,37,2,7,4365,9097,4813,17,804,157,6618,7653,460,14731,2020-03-14,
CATAWBA,22673,44071,459,16,46,35148,83186,8926,120,10181,3310,46251,52413,3749,102413,2020-03-14,
CHATHAM,20415,13120,271,16,24,20483,41143,6048,109,7029,1695,23028,27183,4118,54329,2020-03-14,
CHEROKEE,4258,10008,127,7,8,7012,20455,216,124,625,176,10153,11199,68,21420,2020-03-14,
CHOWAN,4177,2680,32,3,1,2963,6413,2982,12,449,61,4297,5383,176,9856,2020-03-14,
CLAY,1619,3856,55,3,5,3118,8251,46,15,344,58,4014,4435,207,8656,2020-03-14,
CLEVELAND,23129,21711,281,10,28,17897,45819,13437,88,3712,657,27977,33006,2073,63056,2020-03-14,
COLUMBUS,17061,8139,78,3,11,9800,21919,10742,939,1492,308,15663,18766,663,35092,2020-03-14,
CRAVEN,21358,24782,410,27,29,22425,48622,14623,164,5622,1621,30280,36515,2236,69031,2020-03-14,
CUMBERLAND,92304,47694,1316,47,113,68073,88787,85947,2279,32534,12148,86290,108536,14721,209547,2020-03-14,
CURRITUCK,3562,7977,175,10,9,8526,18098,1076,46,1039,152,9604,10153,502,20259,2020-03-14,
DARE,8009,9602,221,11,10,11858,27621,573,36,1481,262,13811,15216,684,29711,2020-03-14,
DAVIDSON,23393,50514,481,22,42,32236,88188,10102,248,8150,2124,48044,54768,3876,106688,2020-03-14,
DAVIE,5008,15237,135,6,14,9313,25574,1864,35,2240,548,13578,15124,1011,29713,2020-03-14,
DUPLIN,12435,8253,105,3,18,8417,17889,8382,49,2911,1614,12700,15242,1289,29231,2020-03-14,
DURHAM,124345,25886,1139,108,54,76601,109598,78781,574,39180,9357,93684,118850,15599,228133,2020-03-14,
EDGECOMBE,23241,5890,78,6,14,5428,12167,20839,72,1579,428,14665,19244,748,34657,2020-03-14,
FORSYTH,101918,73321,1393,87,111,80500,159239,68501,510,29080,10385,109139,134673,13518,257330,2020-03-14,
FRANKLIN,16649,13668,237,16,29,13334,28472,10924,129,4408,1096,19237,21989,2707,43933,2020-03-14,
GASTON,41114,53895,829,35,86,44247,102893,23779,320,13214,3874,61128,72864,6214,140206,2020-03-14,
GATES,3833,1756,29,0,2,2280,4898,2575,16,411,41,3538,4028,334,7900,2020-03-14,
GRAHAM,1498,2688,26,0,2,1596,5402,4,268,136,19,2764,2976,70,5810,2020-03-14,
GRANVILLE,17365,9444,154,8,16,10746,22688,11906,77,3062,791,16173,19108,2452,37733,2020-03-14,
GREENE,5667,2233,21,5,4,3103,6179,4030,10,814,421,4893,5901,239,11033,2020-03-14,
GUILFORD,160445,90508,2050,123,146,111275,196082,124964,977,42524,10736,156113,196091,12343,364547,2020-03-14,
HALIFAX,22981,4563,97,8,5,8838,14214,19433,1069,1776,255,15837,19757,898,36492,2020-03-14,
