,precno,name,type,location,address
0,1.0,WESTMINSTER PRESBYTERIAN CHURCH,Restricted,WESTMINSTER PRESBYTERIAN CHURCH - BEARD HALL,"101 COLVILLE RD, CHARLOTTE, NC"
1,3.0,COCHRANE COLLEGIATE ACADEMY,Campaigning Permitted,COCHRANE COLLEGIATE ACADEMY - GYM,"6200 STARHAVEN DR, CHARLOTTE, NC"
2,5.0,THIRD PRESBYTERIAN CHURCH,Restricted,THIRD PRESBYTERIAN CHURCH- FELLOWSHIP HALL,"4019 CENTRAL AVE, CHARLOTTE, NC"
3,7.0,RANDOLPH MIDDLE SCHOOL,Campaigning Permitted,RANDOLPH MIDDLE SCHOOL - MEDIA CENTER,"4400 WATER OAK RD, CHARLOTTE, NC"
4,8.0,MYERS PARK ELEMENTARY SCHOOL,Campaigning Permitted,MYERS PARK ELEMENTARY SCHOOL - GYM,"2132 RADCLIFFE AVE, CHARLOTTE, NC"
5,12.0,WALLACE PRUITT RECREATION CENTER,Campaigning Permitted,WALLACE PRUITT RECREATION CENTER - GYM,"440 TUCKASEEGEE RD, CHARLOTTE, NC"
6,13.0,FIRST WARD ELEMENTARY SCHOOL,Campaigning Permitted,FIRST WARD ELEMENTARY SCHOOL - FLEX ROOM IN ANNEX,"715 N CALDWELL ST, CHARLOTTE, NC"
7,15.0,MIDWOOD BAPTIST CHURCH,Restricted,MIDWOOD BAPTIST CHURCH - FELLOWSHIP HALL,"2029 MECKLENBURG AVE, CHARLOTTE, NC"
8,18.0,EASTOVER ELEMENTARY SCHOOL,Campaigning Permitted,EASTOVER ELEMENTARY SCHOOL - GYM,"500 CHEROKEE RD, CHARLOTTE, NC"
9,19.0,MYERS PARK HIGH SCHOOL,Campaigning Permitted,MYERS PARK HIGH SCHOOL - ART GALLERY,"2400 COLONY RD, CHARLOTTE, NC"
10,20.0,AVONDALE PRESBYTERIAN CHURCH,Restricted,AVONDALE PRESBYTERIAN CHURCH - FAMILY LIFE CENTER,"2821 PARK RD, CHARLOTTE, NC"
11,21.0,SEDGEFIELD UNITED METHODIST CHURCH,Restricted,SEDGEFIELD UNITED METHODIST CHURCH - FELLOWSHIP HALL,"2830 DORCHESTER PL, CHARLOTTE, NC"
12,23.0,BISHOP SPAUGH COMMUNITY ACADEMY,Campaigning Permitted,BISHOP SPAUGH COMMUNITY ACADEMY - CAFETERIA,"1901 HERBERT SPAUGH LN, CHARLOTTE, NC"
13,24.0,BETTE RAE THOMAS RECREATION CENTER,Campaigning Permitted,BETTE RAE THOMAS RECREATION CENTER - GYM,"2921 TUCKASEEGEE RD, CHARLOTTE, NC"
14,25.0,WEST CHARLOTTE RECREATION CENTER,Campaigning Permitted,WEST CHARLOTTE RECREATION CENTER - MULTI-PURPOSE ROOM 3,"2401 KENDALL DR, CHARLOTTE, NC"
15,27.0,HIGHLAND RENAISSANCE ACADEMY,Campaigning Permitted,HIGHLAND RENAISSANCE ACADEMY - MULTI-PURPOSE ROOM,"125 W CRAIGHEAD RD, CHARLOTTE, NC"
16,29.0,MERRY OAKS ELEMENTARY SCHOOL,Campaigning Permitted,MERRY OAKS ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"3508 DRAPER AVE, CHARLOTTE, NC"
17,31.0,BARRINGER ACADEMIC CENTER,Campaigning Permitted,BARRINGER ACADEMIC CENTER - MULTI-PURPOSE ROOM,"1546 WALTON RD, CHARLOTTE, NC"
18,32.0,CHRIST EPISCOPAL CHURCH,Restricted,CHRIST EPISCOPAL CHURCH - ALL SAINTS HALL,"1412 PROVIDENCE RD, CHARLOTTE, NC"
19,33.0,EASTWAY MIDDLE SCHOOL,Campaigning Permitted,EASTWAY MIDDLE SCHOOL - GYM,"1501 NORLAND RD, CHARLOTTE, NC"
20,34.0,OAKHURST STEAM ACADEMY,Restricted,OAKHURST STEAM ACADEMY - CAFETERIA,"4511 MONROE RD, CHARLOTTE, NC"
21,35.0,COTSWOLD ELEMENTARY SCHOOL,Campaigning Permitted,COTSWOLD ELEMENTARY SCHOOL - GYM,"300 GREENWICH RD, CHARLOTTE, NC"
